Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime;;;
Jingle Bells;YASA_t2_m1;0;BusyBox_2007-05-20_17-12-43;439;1342;1;1;86400000;true;true;2255;35;2;1;373624;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.999906323;0.9999739;1.000002676
Jingle Bells;YASA_t2_m1;1;BusyBox_2007-06-01_14-40-03;439;1342;1;1;86400000;true;true;2380;41;2;1;373624;1;0;0.5117;0.5117;0.61156;-1;-1;-1;-1;-1;0.999890264;0.999972454;1.000002676
Jingle Bells;YASA_t2_m1;2;BusyBox_2007-07-01_14-53-06;454;1389;1;1;86400000;true;true;2625;39;2;1;399973;1;0;0.53867;0.53867;0.61294;-1;-1;-1;-1;-1;0.999902493;0.999969618;1.0000025
Jingle Bells;YASA_t2_m1;3;BusyBox_2007-08-01_23-30-54;459;1405;1;1;86400000;true;true;2565;41;2;1;407160;1;0;0.56098;0.56098;0.62255;-1;-1;-1;-1;-1;0.999899302;0.999970313;1.000002456
Jingle Bells;YASA_t2_m1;4;BusyBox_2007-09-02_14-51-54;469;1440;1;1;86400000;true;true;2664;47;2;1;425394;1;0;0.52866;0.52866;0.61651;-1;-1;-1;-1;-1;0.999889514;0.999969167;1.000002351
Jingle Bells;YASA_t2_m1;5;BusyBox_2007-10-01_09-59-01;472;1450;1;1;86400000;true;true;2683;49;2;1;432798;1;0;0.57748;0.57748;0.61789;-1;-1;-1;-1;-1;0.999886783;0.999968947;1.000002311
Jingle Bells;YASA_t2_m1;6;BusyBox_2007-11-02_23-31-10;475;1462;1;1;86400000;true;true;2685;48;2;1;438392;1;0;0.56861;0.56861;0.61555;-1;-1;-1;-1;-1;0.999890509;0.999968924;1.000002281
Jingle Bells;YASA_t2_m1;7;BusyBox_2007-12-02_01-43-18;482;1480;1;1;86400000;true;true;2678;46;2;1;451592;1;0;0.55014;0.55014;0.62099;-1;-1;-1;-1;-1;0.999898138;0.999969005;1.000002214
Jingle Bells;YASA_t2_m1;8;BusyBox_2008-01-02_19-55-04;487;1496;1;1;86400000;true;true;2924;44;2;1;459220;1;0;0.54505;0.54505;0.6167;-1;-1;-1;-1;-1;0.999904185;0.999966157;1.000002178
Jingle Bells;YASA_t2_m1;9;BusyBox_2008-02-01_01-41-57;493;1512;1;1;86400000;true;true;2834;44;2;1;470796;1;0;0.58953;0.58953;0.61205;-1;-1;-1;-1;-1;0.999906541;0.999967199;1.000002124
Jingle Bells;YASA_t2_m1;10;BusyBox_2008-03-01_09-35-39;546;1675;1;1;86400000;true;true;3087;43;2;1;579278;1;0;0.57072;0.57072;0.63244;-1;-1;-1;-1;-1;0.99992577;0.999964271;1.000001726
Jingle Bells;YASA_t2_m1;11;BusyBox_2008-04-01_14-47-57;535;1633;1;1;86400000;true;true;2936;43;2;1;555903;1;0;0.59611;0.59611;0.6197;-1;-1;-1;-1;-1;0.999922648;0.999966019;1.000001799
Jingle Bells;YASA_t2_m1;12;BusyBox_2008-05-02_09-19-29;537;1641;1;1;86400000;true;true;2991;42;2;1;560124;1;0;0.56087;0.56087;0.6143;-1;-1;-1;-1;-1;0.999925017;0.999965382;1.000001785
Jingle Bells;YASA_t2_m1;13;BusyBox_2008-06-01_10-10-22;543;1673;1;1;86400000;true;true;3074;46;2;1;572865;1;0;0.54807;0.54807;0.61449;-1;-1;-1;-1;-1;0.999919702;0.999964421;1.000001746
Jingle Bells;YASA_t2_m1;14;BusyBox_2008-07-01_01-57-36;550;1694;1;1;86400000;true;true;3354;40;2;1;585777;1;0;0.44881;0.44881;0.61108;-1;-1;-1;-1;-1;0.999931715;0.999961181;1.000001707
Jingle Bells;YASA_t2_m1;15;BusyBox_2008-08-01_02-15-05;557;1727;1;1;86400000;true;true;3205;46;2;1;600941;1;0;0.51432;0.51432;0.60762;-1;-1;-1;-1;-1;0.999923453;0.999962905;1.000001664
Jingle Bells;YASA_t2_m1;16;BusyBox_2008-09-01_15-23-04;546;1694;1;1;86400000;true;true;3049;48;2;1;577080;1;0;0.5721;0.5721;0.61564;-1;-1;-1;-1;-1;0.999916823;0.999964711;1.000001733
Jingle Bells;YASA_t2_m1;17;BusyBox_2008-10-02_13-30-31;556;1689;1;1;86400000;true;true;3217;43;2;1;594455;1;0;0.47781;0.47781;0.61292;-1;-1;-1;-1;-1;0.999927665;0.999962766;1.000001682
Jingle Bells;YASA_t2_m1;18;BusyBox_2008-11-01_00-10-51;561;1704;1;1;86400000;true;true;3534;42;2;1;605407;1;0;0.56028;0.56028;0.61162;-1;-1;-1;-1;-1;0.999930625;0.999959097;1.000001652
Jingle Bells;YASA_t2_m1;19;BusyBox_2008-12-01_12-36-41;572;1742;1;1;86400000;true;true;3226;42;2;1;629860;1;0;0.59252;0.59252;0.61027;-1;-1;-1;-1;-1;0.999933319;0.999962662;1.000001588
Jingle Bells;YASA_t2_m1;20;BusyBox_2009-01-01_17-52-09;572;1742;1;1;86400000;true;true;3234;42;2;1;629860;1;1;1;1;1;-1;-1;-1;-1;-1;0.999933319;0.999962569;1.000001588
Jingle Bells;YASA_t2_m1;21;BusyBox_2009-02-01_00-40-45;575;1764;1;1;86400000;true;true;3220;41;2;1;638857;1;0;0.56497;0.56497;0.60627;-1;-1;-1;-1;-1;0.999935823;0.999962731;1.000001565
Jingle Bells;YASA_t2_m1;22;BusyBox_2009-03-01_04-50-18;574;1764;1;1;86400000;true;true;3412;40;2;1;636594;1;0;0.55837;0.55837;0.60914;-1;-1;-1;-1;-1;0.999937166;0.999960509;1.000001571
Jingle Bells;YASA_t2_m1;23;BusyBox_2009-04-01_11-24-04;575;1766;1;1;86400000;true;true;3354;40;2;1;638856;1;0;0.58635;0.58635;0.60355;-1;-1;-1;-1;-1;0.999937388;0.999961181;1.000001565
Jingle Bells;YASA_t2_m1;24;BusyBox_2009-05-01_03-00-04;580;1781;1;1;86400000;true;true;3377;40;2;1;650213;1;0;0.59085;0.59085;0.60911;-1;-1;-1;-1;-1;0.999938482;0.999960914;1.000001538
Jingle Bells;YASA_t2_m1;25;BusyBox_2009-06-01_11-26-30;583;1796;1;1;86400000;true;true;3173;43;2;1;657060;1;0;0.54853;0.54853;0.60565;-1;-1;-1;-1;-1;0.999934557;0.999963275;1.000001522
Jingle Bells;YASA_t2_m1;26;BusyBox_2009-07-02_12-04-50;585;1808;1;1;86400000;true;true;3518;41;2;1;661641;1;0;0.53227;0.53227;0.60471;-1;-1;-1;-1;-1;0.999938033;0.999959282;1.000001511
Jingle Bells;YASA_t2_m1;27;BusyBox_2009-08-01_06-53-03;594;1837;1;1;86400000;true;true;3261;45;2;1;682494;1;0;0.54744;0.54744;0.61792;-1;-1;-1;-1;-1;0.999934065;0.999962257;1.000001465
Jingle Bells;YASA_t2_m1;28;BusyBox_2009-09-02_11-49-25;596;1842;1;1;86400000;true;true;3283;44;2;1;687175;1;0;0.56944;0.56944;0.62959;-1;-1;-1;-1;-1;0.99993597;0.999962002;1.000001455
Jingle Bells;YASA_t2_m1;29;BusyBox_2009-10-02_01-10-32;599;1851;1;1;86400000;true;true;3684;41;2;1;694227;1;0;0.51472;0.51472;0.6107;-1;-1;-1;-1;-1;0.999940942;0.999957361;1.00000144
Jingle Bells;YASA_t2_m1;30;BusyBox_2009-11-01_04-01-30;602;1862;1;1;86400000;true;true;3429;40;2;1;701315;1;0;0.56977;0.56977;0.61452;-1;-1;-1;-1;-1;0.999942964;0.999960313;1.000001426
Jingle Bells;YASA_t2_m1;31;BusyBox_2009-12-01_02-32-01;608;1884;1;1;86400000;true;true;3316;42;2;1;715584;1;0;0.56845;0.56845;0.61431;-1;-1;-1;-1;-1;0.999941307;0.99996162;1.000001397
Jingle Bells;YASA_t2_m1;32;BusyBox_2010-01-01_16-45-43;608;1884;1;1;86400000;true;true;3468;41;2;1;715584;1;0;0.55578;0.55578;0.60345;-1;-1;-1;-1;-1;0.999942704;0.999959861;1.000001397
Jingle Bells;YASA_t2_m1;33;BusyBox_2010-02-01_04-55-30;619;1918;1;1;86400000;true;true;3424;39;2;1;742142;1;0;0.53332;0.53332;0.60524;-1;-1;-1;-1;-1;0.999947449;0.99996037;1.000001347
Jingle Bells;YASA_t2_m1;34;BusyBox_2010-03-02_15-02-45;622;1926;1;1;86400000;true;true;3469;42;2;1;749474;1;0;0.55271;0.55271;0.61065;-1;-1;-1;-1;-1;0.999943961;0.99995985;1.000001334
Jingle Bells;YASA_t2_m1;35;BusyBox_2010-04-01_15-09-44;628;1948;1;1;86400000;true;true;3523;42;2;1;764224;1;0;0.58437;0.58437;0.60239;-1;-1;-1;-1;-1;0.999945042;0.999959225;1.000001309
Jingle Bells;YASA_t2_m1;36;BusyBox_2010-05-02_14-17-07;631;1944;1;1;86400000;true;true;3707;42;2;1;771658;1;0;0.58758;0.58758;0.60467;-1;-1;449;-1;-1;0.999945572;0.999957095;0.999418136
;;;;;;;;;;;;;;;;;;;;;;;;;;0.999924474;0.999963771;0.999986011
