;Prioritization;Algorithm;NBS;NBS Rank;SRBS;SRBS Rank;WRBS;WRBS Rank;IWRBS;IWRBS Rank;Avg. Size;Avg. Time;Avg. Coverage;Avg. Similarity;Avg. Memory;Avg. Normalized Size;Avg. Normalized Time;Avg. Normalized Memory;NBS Subscore Size;NBS Subscore Time;NBS Subscore Coverage;NBS Subscore Similarity;NBS Subscore Memory;SRBS Subscore Size;SRBS Subscore Time;SRBS Subscore Coverage;SRBS Subscore Similarity;SRBS Subscore Memory;WRBS Subscore Size;WRBS Subscore Time;WRBS Subscore Coverage;WRBS Subscore Similarity;WRBS Subscore Memory;IWRBS Subscore Size;IWRBS Subscore Time;IWRBS Subscore Coverage;IWRBS Subscore Similarity;IWRBS Subscore Memory
29;[S-46,T-1,C-1,Sim-1,M-1];YASA_t2_m1;49.425349872168574;;51.0;;50.00235279611756;;775.668663489538;;3239.74;84381.34;1.0;0.6163824444444445;2022.8;0.995916908206717;0.9990233641203704;0.9977662860947804;0.995916908206717;0.9990233641203704;1.0;0.6163824444444445;0.9977662860947804;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0023527961175618;1.0;1.0996499719113262;66.65721971232028;1.0;1.0667283795596747;656.360816689737
30;[S-51,T-1,C-1,Sim-1,M-1];Chvatal_t2;;;110.0;;776.0429087683583;;60.12404917687432;;3241.32;5624625.52;1.0;0.6178326666666666;1327686.66;0.9959141489973683;0.9349001675925925;;0.9959141489973683;0.9349001675925925;1.0;0.6178326666666666;;2.0;3.0;1.0;1.0;3.0;1.0004876934568825;66.65721971232028;1.0;1.0;656.360816689737;1.0991139412338182;1.0;1.0;1.0692381739495957;1.0
31;[S-51,T-1,C-1,Sim-1,M-1];Incling_t2;54.09177399052187;;161.0;;228.24153091379924;;59.748362587245765;;3562.58;3027409.74;1.0;0.577825111111111;271484.9;0.9955226983036514;0.9649605354166668;0.777330730507875;0.9955226983036514;0.9649605354166668;1.0;0.577825111111111;0.777330730507875;3.0;2.0;1.0;3.0;2.0;1.0996499719113262;35.877715855187894;1.0;1.0692381739495957;134.2124283171841;1.0;1.8579003184418634;1.0;1.0;4.8904622688038994
32;[S-51,T-1,C-1,Sim-1,M-1];YASA_t2_m1;54.40493441320216;;56.0;;55.00235279611756;;781.1669133490947;;3239.74;84381.34;1.0;0.6163824444444445;2022.8;0.995916908206717;0.9990233641203704;0.9977662860947804;0.995916908206717;0.9990233641203704;1.0;0.6163824444444445;0.9977662860947804;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0023527961175618;1.0;1.0996499719113262;66.65721971232028;1.0;1.0667283795596747;656.360816689737
33;[S-56,T-1,C-1,Sim-1,M-1];Chvatal_t2;;;120.0;;781.0453472356427;;65.61961888304342;;3241.32;5624625.52;1.0;0.6178326666666666;1327686.66;0.9959141489973683;0.9349001675925925;;0.9959141489973683;0.9349001675925925;1.0;0.6178326666666666;;2.0;3.0;1.0;1.0;3.0;1.0004876934568825;66.65721971232028;1.0;1.0;656.360816689737;1.0991139412338182;1.0;1.0;1.0692381739495957;1.0
34;[S-56,T-1,C-1,Sim-1,M-1];Incling_t2;59.06938748204013;;176.0;;233.73978077335587;;64.74836258724577;;3562.58;3027409.74;1.0;0.577825111111111;271484.9;0.9955226983036514;0.9649605354166668;0.777330730507875;0.9955226983036514;0.9649605354166668;1.0;0.577825111111111;0.777330730507875;3.0;2.0;1.0;3.0;2.0;1.0996499719113262;35.877715855187894;1.0;1.0692381739495957;134.2124283171841;1.0;1.8579003184418634;1.0;1.0;4.8904622688038994
35;[S-56,T-1,C-1,Sim-1,M-1];YASA_t2_m1;59.384518954235745;;61.0;;60.00235279611756;;786.6651632086512;;3239.74;84381.34;1.0;0.6163824444444445;2022.8;0.995916908206717;0.9990233641203704;0.9977662860947804;0.995916908206717;0.9990233641203704;1.0;0.6163824444444445;0.9977662860947804;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0023527961175618;1.0;1.0996499719113262;66.65721971232028;1.0;1.0667283795596747;656.360816689737
36;[S-61,T-1,C-1,Sim-1,M-1];Chvatal_t2;;;130.0;;786.0477857029272;;71.11518858921251;;3241.32;5624625.52;1.0;0.6178326666666666;1327686.66;0.9959141489973683;0.9349001675925925;;0.9959141489973683;0.9349001675925925;1.0;0.6178326666666666;;2.0;3.0;1.0;1.0;3.0;1.0004876934568825;66.65721971232028;1.0;1.0;656.360816689737;1.0991139412338182;1.0;1.0;1.0692381739495957;1.0
37;[S-61,T-1,C-1,Sim-1,M-1];Incling_t2;64.04700097355838;;191.0;;239.23803063291248;;69.74836258724577;;3562.58;3027409.74;1.0;0.577825111111111;271484.9;0.9955226983036514;0.9649605354166668;0.777330730507875;0.9955226983036514;0.9649605354166668;1.0;0.577825111111111;0.777330730507875;3.0;2.0;1.0;3.0;2.0;1.0996499719113262;35.877715855187894;1.0;1.0692381739495957;134.2124283171841;1.0;1.8579003184418634;1.0;1.0;4.8904622688038994
38;[S-61,T-1,C-1,Sim-1,M-1];YASA_t2_m1;64.36410349526933;;66.0;;65.00235279611756;;792.1634130682079;;3239.74;84381.34;1.0;0.6163824444444445;2022.8;0.995916908206717;0.9990233641203704;0.9977662860947804;0.995916908206717;0.9990233641203704;1.0;0.6163824444444445;0.9977662860947804;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0023527961175618;1.0;1.0996499719113262;66.65721971232028;1.0;1.0667283795596747;656.360816689737
39;[S-66,T-1,C-1,Sim-1,M-1];Chvatal_t2;;;140.0;;791.0502241702115;;76.6107582953816;;3241.32;5624625.52;1.0;0.6178326666666666;1327686.66;0.9959141489973683;0.9349001675925925;;0.9959141489973683;0.9349001675925925;1.0;0.6178326666666666;;2.0;3.0;1.0;1.0;3.0;1.0004876934568825;66.65721971232028;1.0;1.0;656.360816689737;1.0991139412338182;1.0;1.0;1.0692381739495957;1.0
40;[S-66,T-1,C-1,Sim-1,M-1];Incling_t2;69.02461446507664;;206.0;;244.73628049246912;;74.74836258724577;;3562.58;3027409.74;1.0;0.577825111111111;271484.9;0.9955226983036514;0.9649605354166668;0.777330730507875;0.9955226983036514;0.9649605354166668;1.0;0.577825111111111;0.777330730507875;3.0;2.0;1.0;3.0;2.0;1.0996499719113262;35.877715855187894;1.0;1.0692381739495957;134.2124283171841;1.0;1.8579003184418634;1.0;1.0;4.8904622688038994
41;[S-66,T-1,C-1,Sim-1,M-1];YASA_t2_m1;69.34368803630292;;71.0;;70.00235279611756;;797.6616629277645;;3239.74;84381.34;1.0;0.6163824444444445;2022.8;0.995916908206717;0.9990233641203704;0.9977662860947804;0.995916908206717;0.9990233641203704;1.0;0.6163824444444445;0.9977662860947804;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0023527961175618;1.0;1.0996499719113262;66.65721971232028;1.0;1.0667283795596747;656.360816689737
42;[S-71,T-1,C-1,Sim-1,M-1];Chvatal_t2;;;150.0;;796.0526626374959;;82.1063280015507;;3241.32;5624625.52;1.0;0.6178326666666666;1327686.66;0.9959141489973683;0.9349001675925925;;0.9959141489973683;0.9349001675925925;1.0;0.6178326666666666;;2.0;3.0;1.0;1.0;3.0;1.0004876934568825;66.65721971232028;1.0;1.0;656.360816689737;1.0991139412338182;1.0;1.0;1.0692381739495957;1.0
43;[S-71,T-1,C-1,Sim-1,M-1];Incling_t2;74.0022279565949;;221.0;;250.23453035202576;;79.74836258724577;;3562.58;3027409.74;1.0;0.577825111111111;271484.9;0.9955226983036514;0.9649605354166668;0.777330730507875;0.9955226983036514;0.9649605354166668;1.0;0.577825111111111;0.777330730507875;3.0;2.0;1.0;3.0;2.0;1.0996499719113262;35.877715855187894;1.0;1.0692381739495957;134.2124283171841;1.0;1.8579003184418634;1.0;1.0;4.8904622688038994
44;[S-71,T-1,C-1,Sim-1,M-1];YASA_t2_m1;74.32327257733651;;76.0;;75.00235279611756;;803.1599127873211;;3239.74;84381.34;1.0;0.6163824444444445;2022.8;0.995916908206717;0.9990233641203704;0.9977662860947804;0.995916908206717;0.9990233641203704;1.0;0.6163824444444445;0.9977662860947804;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0023527961175618;1.0;1.0996499719113262;66.65721971232028;1.0;1.0667283795596747;656.360816689737
45;[S-76,T-1,C-1,Sim-1,M-1];Chvatal_t2;;;160.0;;801.0551011047803;;87.60189770771979;;3241.32;5624625.52;1.0;0.6178326666666666;1327686.66;0.9959141489973683;0.9349001675925925;;0.9959141489973683;0.9349001675925925;1.0;0.6178326666666666;;2.0;3.0;1.0;1.0;3.0;1.0004876934568825;66.65721971232028;1.0;1.0;656.360816689737;1.0991139412338182;1.0;1.0;1.0692381739495957;1.0
46;[S-76,T-1,C-1,Sim-1,M-1];Incling_t2;78.97984144811315;;236.0;;255.7327802115824;;84.74836258724577;;3562.58;3027409.74;1.0;0.577825111111111;271484.9;0.9955226983036514;0.9649605354166668;0.777330730507875;0.9955226983036514;0.9649605354166668;1.0;0.577825111111111;0.777330730507875;3.0;2.0;1.0;3.0;2.0;1.0996499719113262;35.877715855187894;1.0;1.0692381739495957;134.2124283171841;1.0;1.8579003184418634;1.0;1.0;4.8904622688038994
47;[S-76,T-1,C-1,Sim-1,M-1];YASA_t2_m1;79.3028571183701;;81.0;;80.00235279611756;;808.6581626468778;;3239.74;84381.34;1.0;0.6163824444444445;2022.8;0.995916908206717;0.9990233641203704;0.9977662860947804;0.995916908206717;0.9990233641203704;1.0;0.6163824444444445;0.9977662860947804;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0023527961175618;1.0;1.0996499719113262;66.65721971232028;1.0;1.0667283795596747;656.360816689737
48;[S-81,T-1,C-1,Sim-1,M-1];Chvatal_t2;;;170.0;;806.0575395720648;;93.09746741388888;;3241.32;5624625.52;1.0;0.6178326666666666;1327686.66;0.9959141489973683;0.9349001675925925;;0.9959141489973683;0.9349001675925925;1.0;0.6178326666666666;;2.0;3.0;1.0;1.0;3.0;1.0004876934568825;66.65721971232028;1.0;1.0;656.360816689737;1.0991139412338182;1.0;1.0;1.0692381739495957;1.0
49;[S-81,T-1,C-1,Sim-1,M-1];Incling_t2;83.9574549396314;;251.0;;261.231030071139;;89.74836258724577;;3562.58;3027409.74;1.0;0.577825111111111;271484.9;0.9955226983036514;0.9649605354166668;0.777330730507875;0.9955226983036514;0.9649605354166668;1.0;0.577825111111111;0.777330730507875;3.0;2.0;1.0;3.0;2.0;1.0996499719113262;35.877715855187894;1.0;1.0692381739495957;134.2124283171841;1.0;1.8579003184418634;1.0;1.0;4.8904622688038994
50;[S-81,T-1,C-1,Sim-1,M-1];YASA_t2_m1;84.28244165940367;;86.0;;85.00235279611756;;814.1564125064344;;3239.74;84381.34;1.0;0.6163824444444445;2022.8;0.995916908206717;0.9990233641203704;0.9977662860947804;0.995916908206717;0.9990233641203704;1.0;0.6163824444444445;0.9977662860947804;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0023527961175618;1.0;1.0996499719113262;66.65721971232028;1.0;1.0667283795596747;656.360816689737
51;[S-86,T-1,C-1,Sim-1,M-1];Chvatal_t2;;;180.0;;811.0599780393492;;98.59303712005797;;3241.32;5624625.52;1.0;0.6178326666666666;1327686.66;0.9959141489973683;0.9349001675925925;;0.9959141489973683;0.9349001675925925;1.0;0.6178326666666666;;2.0;3.0;1.0;1.0;3.0;1.0004876934568825;66.65721971232028;1.0;1.0;656.360816689737;1.0991139412338182;1.0;1.0;1.0692381739495957;1.0
52;[S-86,T-1,C-1,Sim-1,M-1];Incling_t2;88.93506843114966;;266.0;;266.7292799306956;;94.74836258724577;;3562.58;3027409.74;1.0;0.577825111111111;271484.9;0.9955226983036514;0.9649605354166668;0.777330730507875;0.9955226983036514;0.9649605354166668;1.0;0.577825111111111;0.777330730507875;3.0;2.0;1.0;3.0;2.0;1.0996499719113262;35.877715855187894;1.0;1.0692381739495957;134.2124283171841;1.0;1.8579003184418634;1.0;1.0;4.8904622688038994
53;[S-86,T-1,C-1,Sim-1,M-1];YASA_t2_m1;89.26202620043726;;91.0;;90.00235279611756;;819.654662365991;;3239.74;84381.34;1.0;0.6163824444444445;2022.8;0.995916908206717;0.9990233641203704;0.9977662860947804;0.995916908206717;0.9990233641203704;1.0;0.6163824444444445;0.9977662860947804;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0023527961175618;1.0;1.0996499719113262;66.65721971232028;1.0;1.0667283795596747;656.360816689737
54;[S-91,T-1,C-1,Sim-1,M-1];Chvatal_t2;;;190.0;;816.0624165066336;;104.08860682622706;;3241.32;5624625.52;1.0;0.6178326666666666;1327686.66;0.9959141489973683;0.9349001675925925;;0.9959141489973683;0.9349001675925925;1.0;0.6178326666666666;;2.0;3.0;1.0;1.0;3.0;1.0004876934568825;66.65721971232028;1.0;1.0;656.360816689737;1.0991139412338182;1.0;1.0;1.0692381739495957;1.0
55;[S-91,T-1,C-1,Sim-1,M-1];Incling_t2;93.91268192266791;;281.0;;272.2275297902523;;99.74836258724577;;3562.58;3027409.74;1.0;0.577825111111111;271484.9;0.9955226983036514;0.9649605354166668;0.777330730507875;0.9955226983036514;0.9649605354166668;1.0;0.577825111111111;0.777330730507875;3.0;2.0;1.0;3.0;2.0;1.0996499719113262;35.877715855187894;1.0;1.0692381739495957;134.2124283171841;1.0;1.8579003184418634;1.0;1.0;4.8904622688038994
56;[S-91,T-1,C-1,Sim-1,M-1];YASA_t2_m1;94.24161074147085;;96.0;;95.00235279611756;;825.1529122255477;;3239.74;84381.34;1.0;0.6163824444444445;2022.8;0.995916908206717;0.9990233641203704;0.9977662860947804;0.995916908206717;0.9990233641203704;1.0;0.6163824444444445;0.9977662860947804;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0023527961175618;1.0;1.0996499719113262;66.65721971232028;1.0;1.0667283795596747;656.360816689737
57;[S-96,T-1,C-1,Sim-1,M-1];Chvatal_t2;;;200.0;;821.064854973918;;109.58417653239616;;3241.32;5624625.52;1.0;0.6178326666666666;1327686.66;0.9959141489973683;0.9349001675925925;;0.9959141489973683;0.9349001675925925;1.0;0.6178326666666666;;2.0;3.0;1.0;1.0;3.0;1.0004876934568825;66.65721971232028;1.0;1.0;656.360816689737;1.0991139412338182;1.0;1.0;1.0692381739495957;1.0
58;[S-96,T-1,C-1,Sim-1,M-1];Incling_t2;98.89029541418617;;296.0;;277.72577964980894;;104.74836258724577;;3562.58;3027409.74;1.0;0.577825111111111;271484.9;0.9955226983036514;0.9649605354166668;0.777330730507875;0.9955226983036514;0.9649605354166668;1.0;0.577825111111111;0.777330730507875;3.0;2.0;1.0;3.0;2.0;1.0996499719113262;35.877715855187894;1.0;1.0692381739495957;134.2124283171841;1.0;1.8579003184418634;1.0;1.0;4.8904622688038994
59;[S-96,T-1,C-1,Sim-1,M-1];YASA_t2_m1;99.22119528250442;;101.0;;100.00235279611756;;830.6511620851043;;3239.74;84381.34;1.0;0.6163824444444445;2022.8;0.995916908206717;0.9990233641203704;0.9977662860947804;0.995916908206717;0.9990233641203704;1.0;0.6163824444444445;0.9977662860947804;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0023527961175618;1.0;1.0996499719113262;66.65721971232028;1.0;1.0667283795596747;656.360816689737
